(5, 338, 793, 33) - 0 - 3
(316, 149, 179, 48) - 0 - 1
(2, 425, 139, 35) - 1 - 2
(464, 51, 30, 292) - 1 - 3
(582, 225, 160, 71) - 1 - 1
(129, 446, 231, 36) - 2 - 2
(475, 249, 155, 46) - 2 - 4
(76, 107, 141, 70) - 2 - 4
(180, 420, 153, 26) - 3 - 1
(357, 226, 26, 200) - 3 - 3
(5, 218, 376, 57) - 3 - 5
(559, 421, 236, 48) - 3 - 3
(522, 70, 165, 88) - 3 - 5
(123, 330, 170, 45) - 4 - 5
(239, 149, 0, 0) - 4 - 0
(190, 150, 0, 0) - 4 - 0
(526, 175, 140, 40) - 4 - 2
(198, 85, 112, 35) - 4 - 1
(55, 51, 35, 183) - 5 - 0
(55, 51, 106, 24) - 5 - 0
(57, 205, 106, 28) - 5 - 0
(56, 135, 99, 18) - 5 - 0
(247, 102, 37, 127) - 5 - 0
(249, 116, 98, 21) - 5 - 0
(312, 119, 28, 109) - 5 - 0
(452, 51, 58, 192) - 5 - 0
(385, 210, 67, 29) - 5 - 0
(387, 136, 64, 25) - 5 - 0
(385, 157, 18, 54) - 5 - 0
