(5, 338, 793, 33) - 0 - 3
(316, 149, 179, 48) - 0 - 1
(2, 425, 139, 35) - 1 - 2
(384, 212, 159, 59) - 1 - 4
(62, 92, 147, 47) - 1 - 5
(567, 355, 232, 62) - 2 - 3
(111, 219, 202, 60) - 2 - 4
(494, 103, 171, 30) - 2 - 2
(173, 250, 17, 240) - 3 - 3
(6, 445, 149, 53) - 3 - 1
(0, 0, 175, 20) - 3 - 0
(314, 127, 169, 51) - 3 - 5
(0, 440, 140, 50) - 4 - 5
(660, 440, 140, 50) - 4 - 5
(275, 100, 200, 70) - 4 - 1
(158, 269, 104, 59) - 4 - 5
(558, 269, 104, 59) - 4 - 5
(55, 51, 35, 183) - 5 - 0
(55, 51, 106, 24) - 5 - 0
(57, 205, 106, 28) - 5 - 0
(56, 135, 99, 18) - 5 - 0
(247, 102, 37, 127) - 5 - 0
(249, 116, 98, 21) - 5 - 0
(312, 119, 28, 109) - 5 - 0
(452, 51, 58, 192) - 5 - 0
(385, 210, 67, 29) - 5 - 0
(387, 136, 64, 25) - 5 - 0
(385, 157, 18, 54) - 5 - 0
